epoch,audio_only_pred_accuracy,audio_only_pred_loss,fused_pred_accuracy,fused_pred_loss,loss,lr,val_audio_only_pred_accuracy,val_audio_only_pred_loss,val_fused_pred_accuracy,val_fused_pred_loss,val_loss,val_visual_only_pred_accuracy,val_visual_only_pred_loss,visual_only_pred_accuracy,visual_only_pred_loss
0,0.6389236450195312,0.2112095057964325,0.6764705777168274,0.19641172885894775,0.7577018141746521,3e-05,0.7250000238418579,0.12019016593694687,0.6949999928474426,0.11314448714256287,0.45807334780693054,0.6225000023841858,0.08258289098739624,0.5926157832145691,0.10510391741991043
1,0.6393237113952637,0.21342763304710388,0.6938008666038513,0.1769184023141861,0.6858465671539307,3e-05,0.719298243522644,0.10840177536010742,0.6691729426383972,0.10197576135396957,0.4162311553955078,0.6390977501869202,0.07778331637382507,0.6643707156181335,0.09106317162513733
2,0.6268749833106995,0.21868646144866943,0.6881250143051147,0.18017448484897614,0.6914021372795105,3e-05,0.7024999856948853,0.11460555344820023,0.7699999809265137,0.06663760542869568,0.2972296178340912,0.7850000262260437,0.06293510645627975,0.6949999928474426,0.0852728933095932
3,0.6459899544715881,0.18896259367465973,0.7092731595039368,0.17336711287498474,0.6568211913108826,3e-05,0.6974999904632568,0.11495720595121384,0.7925000190734863,0.06359824538230896,0.2832600772380829,0.8149999976158142,0.057978153228759766,0.719298243522644,0.08003117889165878
4,0.6136506199836731,0.2335583120584488,0.7307451367378235,0.1566041111946106,0.618324339389801,3e-05,0.7462311387062073,0.1299940049648285,0.7638190984725952,0.06883473694324493,0.30545809864997864,0.8090452551841736,0.0599556528031826,0.7351283431053162,0.07844457775354385
5,0.6501877307891846,0.2233147770166397,0.750312864780426,0.15089790523052216,0.5909789204597473,3e-05,0.7250000238418579,0.11494508385658264,0.762499988079071,0.06759782880544662,0.2907503843307495,0.8299999833106995,0.05347336828708649,0.7622027397155762,0.07129081338644028
6,0.6541588306427002,0.20644362270832062,0.7673546075820923,0.12143637984991074,0.49224984645843506,1.19999995e-05,0.7732997536659241,0.10563099384307861,0.7934508919715881,0.06451467424631119,0.270999938249588,0.8765742778778076,0.04576663300395012,0.7792370319366455,0.06600760668516159
7,0.6424090266227722,0.19865155220031738,0.75846928358078,0.12313113361597061,0.4949565529823303,1.19999995e-05,0.7493734359741211,0.12366263568401337,0.7769423723220825,0.07310616970062256,0.3091057538986206,0.8621553778648376,0.052688486874103546,0.7892095446586609,0.0659676119685173
8,0.6506249904632568,0.2087705433368683,0.7662500143051147,0.11907809972763062,0.48558640480041504,1.19999995e-05,0.7593985199928284,0.11073151230812073,0.8020049929618835,0.06035997346043587,0.2617197632789612,0.8771929740905762,0.04742036387324333,0.7943750023841858,0.06572100520133972
9,0.6322701573371887,0.22239656746387482,0.7667291760444641,0.12722909450531006,0.5100326538085938,1.19999995e-05,0.699999988079071,0.13138653337955475,0.7674999833106995,0.07314049452543259,0.30597344040870667,0.8675000071525574,0.04713601619005203,0.7986241579055786,0.06162642687559128
10,0.6368749737739563,0.18852819502353668,0.7993749976158142,0.12286458909511566,0.4868060052394867,1.19999995e-05,0.7593985199928284,0.1121813952922821,0.8145363330841064,0.06957576423883438,0.2966725528240204,0.8696742057800293,0.05429087206721306,0.7975000143051147,0.06165367737412453
11,0.6397748589515686,0.2174292653799057,0.8061288595199585,0.0972282886505127,0.4194521903991699,4.7999997e-06,0.7644110321998596,0.09851574897766113,0.8145363330841064,0.05484209954738617,0.2378968894481659,0.8771929740905762,0.043815866112709045,0.8173858523368835,0.06253859400749207
12,0.6405760645866394,0.22192645072937012,0.7921102046966553,0.12288081645965576,0.4915212094783783,4.7999997e-06,0.7443609237670898,0.09926960617303848,0.8621553778648376,0.041273050010204315,0.19300661981105804,0.9072681665420532,0.03940660506486893,0.8240450620651245,0.0563008189201355
13,0.653099536895752,0.20492541790008545,0.7958672642707825,0.10199794173240662,0.4267880320549011,4.7999997e-06,0.7443609237670898,0.10352723300457001,0.8395990133285522,0.047428350895643234,0.21565356850624084,0.8947368264198303,0.04231034964323044,0.8127739429473877,0.05931660905480385
14,0.6660401225090027,0.19325600564479828,0.7850877046585083,0.10806899517774582,0.4454745054244995,4.7999997e-06,0.7518796920776367,0.10847844183444977,0.8270676732063293,0.06869106739759445,0.284707248210907,0.8822054862976074,0.046090539544820786,0.8095238208770752,0.06329051405191422
